ID,Flap,Kin_Type,Angle,SC_X,SC_Y,SC_Z,S_TE_X,S_TE_Y,S_TE_Z,HP_X,HP_Y,HP_Z,AP1_X,AP1_Y,AP1_Z,AP2_X,AP2_Y,AP2_Z,UJ_X,UJ_Y,UJ_Z,FA_X,FA_Y,FA_Z,eta_load,N_dist_1,T_dist_1,M_dist_1,N_dist_2,T_dist_2,M_dist_2,N_dist_3,T_dist_3,M_dist_3
1,1,DH,0,-1867.99998,6835.054186968323,-128.49315695910082,-1867.99998,7054.88852175239,38.27546129874281,,,,,,,,,,,,,,,,"0,0.5,1","11592.7611332,11592.7579037,11592.7546741","0.0,0.0,0.0","5639.92355071,5639.92197952,5639.92040833","5102.42161016,5102.4201887,5102.41876725","-76.9040007083,-76.9039792841,-76.9039578598","1935.52131698,1935.52077778,1935.52023857","6284.03264294,6284.03089231,6284.02914168","-94.7133121774,-94.7132857918,-94.7132594062","2383.74639854,2383.74573446,2383.74507039"
2,1,DH,10.0,-1871.74692796345,6911.667900519463,-182.87745647442011,-1867.99998,7041.59653241476,0.4489064639183198,,,,,,,,,,,,,,,,"0,0.5,1","11592.7611332,11592.7579037,11592.7546741","0.0,0.0,0.0","5639.92355071,5639.92197952,5639.92040833","5102.42161016,5102.4201887,5102.41876725","-76.9040007083,-76.9039792841,-76.9039578598","1935.52131698,1935.52077778,1935.52023857","6284.03264294,6284.03089231,6284.02914168","-94.7133121774,-94.7132857918,-94.7132594062","2383.74639854,2383.74573446,2383.74507039"
3,1,DH,45.0,-1881.7394411771982,7084.089819679371,-457.5007861377135,-1867.99998,6997.136947082302,-89.26715110410623,,,,,,,,,,,,,,,,"0,0.5,1","11592.7611332,11592.7579037,11592.7546741","0.0,0.0,0.0","5639.92355071,5639.92197952,5639.92040833","5102.42161016,5102.4201887,5102.41876725","-76.9040007083,-76.9039792841,-76.9039578598","1935.52131698,1935.52077778,1935.52023857","6284.03264294,6284.03089231,6284.02914168","-94.7133121774,-94.7132857918,-94.7132594062","2383.74639854,2383.74573446,2383.74507039"
4,1,DH,0,-1867.99998,6835.054186968323,-128.49315695910082,-1867.99998,7054.88852175239,38.27546129874281,-1867.99998,6562.345796566192,-593.9561510459353,-1867.99998,6835.054186968323,-225.79397540262107,-1867.99998,7153.1907681440225,-191.54770622832257,-1867.99998,6448.078537688801,-113.35374075092437,-1867.99998,6665.444635642515,-259.28876082380606,"0,0.5,1","11592.7611332,11592.7579037,11592.7546741","0.0,0.0,0.0","5639.92355071,5639.92197952,5639.92040833","5102.42161016,5102.4201887,5102.41876725","-76.9040007083,-76.9039792841,-76.9039578598","1935.52131698,1935.52077778,1935.52023857","6284.03264294,6284.03089231,6284.02914168","-94.7133121774,-94.7132857918,-94.7132594062","2383.74639854,2383.74573446,2383.74507039"
5,1,DH,10.0,-1871.74692796345,6911.667900519463,-182.87745647442011,-1867.99998,7041.59653241476,0.4489064639183198,-1867.99998,6562.345796566192,-593.9561510459353,-1871.0290138280275,6894.787929094246,-278.7002117768893,-1871.6463951307273,7214.040785052765,-300.1693532868874,-1871.449404870827,6562.732551417515,-106.03443643504811,-1870.621835223008,6751.484937955315,-287.46459470003794,"0,0.5,1","11592.7611332,11592.7579037,11592.7546741","0.0,0.0,0.0","5639.92355071,5639.92197952,5639.92040833","5102.42161016,5102.4201887,5102.41876725","-76.9040007083,-76.9039792841,-76.9039578598","1935.52131698,1935.52077778,1935.52023857","6284.03264294,6284.03089231,6284.02914168","-94.7133121774,-94.7132857918,-94.7132594062","2383.74639854,2383.74573446,2383.74507039"
6,1,DH,45.0,-1881.7394411771982,7084.089819679371,-457.5007861377135,-1867.99998,6997.136947082302,-89.26715110410623,-1867.99998,6562.345796566192,-593.9561510459353,-1878.5861279680926,7015.363040010949,-526.3058414897159,-1878.1266826717417,7264.670059625876,-726.8787462282726,-1883.9909559704142,6842.182489624521,-194.56240847380226,-1878.1892946614275,6892.914960026373,-451.3456006735208,"0,0.5,1","11592.7611332,11592.7579037,11592.7546741","0.0,0.0,0.0","5639.92355071,5639.92197952,5639.92040833","5102.42161016,5102.4201887,5102.41876725","-76.9040007083,-76.9039792841,-76.9039578598","1935.52131698,1935.52077778,1935.52023857","6284.03264294,6284.03089231,6284.02914168","-94.7133121774,-94.7132857918,-94.7132594062","2383.74639854,2383.74573446,2383.74507039"
7,1,DH,0,-5528.800578,6632.205157876128,-45.72775197005103,-5528.800578,6873.775205427233,36.264982580034484,-5528.800578,6409.934643681112,-556.4444987066272,-5528.800578,6632.205157876128,-143.02853161171151,-5528.800578,6951.416040662561,-120.99394584951551,-5528.800578,6213.9476284931425,-102.98582020280087,-5528.800578,6453.352797293414,-208.95853261033344,"0,0.5,1","11592.7611332,11592.7579037,11592.7546741","0.0,0.0,0.0","5639.92355071,5639.92197952,5639.92040833","5102.42161016,5102.4201887,5102.41876725","-76.9040007083,-76.9039792841,-76.9039578598","1935.52131698,1935.52077778,1935.52023857","6284.03264294,6284.03089231,6284.02914168","-94.7133121774,-94.7132857918,-94.7132594062","2383.74639854,2383.74573446,2383.74507039"
8,1,DH,10.0,-5532.823601029698,6717.434536208071,-92.0487533995456,-5528.800578,6865.330660874082,-3.156705510962638,-5528.800578,6409.934643681112,-556.4444987066272,-5532.105687180567,6700.554571514291,-187.87147048958082,-5532.6341986285815,7018.74692513375,-221.55317817733248,-5531.956047336174,6325.132043468961,-81.07619482849286,-5531.448596309765,6542.522010864256,-226.97477327470284,"0,0.5,1","11592.7611332,11592.7579037,11592.7546741","0.0,0.0,0.0","5639.92355071,5639.92197952,5639.92040833","5102.42161016,5102.4201887,5102.41876725","-76.9040007083,-76.9039792841,-76.9039578598","1935.52131698,1935.52077778,1935.52023857","6284.03264294,6284.03089231,6284.02914168","-94.7133121774,-94.7132857918,-94.7132594062","2383.74639854,2383.74573446,2383.74507039"
9,1,DH,45.0,-5544.255415736563,6927.952362333217,-352.3499911109693,-5528.800578,6832.401059600702,-98.30196560086188,-5528.800578,6409.934643681112,-556.4444987066272,-5541.102103784943,6859.225610071828,-421.1550190247226,-5540.24160444118,7100.66730497796,-631.1223454370447,-5544.314987859019,6612.772817783333,-118.50336049847496,-5539.699706559992,6707.327129849421,-362.600127932082,"0,0.5,1","11592.7611332,11592.7579037,11592.7546741","0.0,0.0,0.0","5639.92355071,5639.92197952,5639.92040833","5102.42161016,5102.4201887,5102.41876725","-76.9040007083,-76.9039792841,-76.9039578598","1935.52131698,1935.52077778,1935.52023857","6284.03264294,6284.03089231,6284.02914168","-94.7133121774,-94.7132857918,-94.7132594062","2383.74639854,2383.74573446,2383.74507039"
10,1,DH,0,-7500.0009,6522.290444102314,0.9734273627345829,-7500.0009,6772.651519474905,36.00463907560152,,,,,,,,,,,,,,,,"0,0.5,1","11592.7611332,11592.7579037,11592.7546741","0.0,0.0,0.0","5639.92355071,5639.92197952,5639.92040833","5102.42161016,5102.4201887,5102.41876725","-76.9040007083,-76.9039792841,-76.9039578598","1935.52131698,1935.52077778,1935.52023857","6284.03264294,6284.03089231,6284.02914168","-94.7133121774,-94.7132857918,-94.7132594062","2383.74639854,2383.74573446,2383.74507039"
